market_id,question,cutoff_ts,token_used,last_mid,last_bid,last_ask,spread,depth_k,ob_imbalance,vol_1h,vol_24h,vol_7d,volat_1d,volat_7d,momentum_1h,momentum_24h,label_outcome
monad-market-cap-fdv-4b-one-day-after-launch,Monad market cap (FDV) >$4B one day after launch?,2026-06-30 00:00:00+00:00,39765353778464750787631192721907889057482998132457144837307768128298789022189,0.55,0.21,0.89,0.68,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
will-jonathan-taylor-win-the-202526-nfl-mvp-award,Will Jonathan Taylor win the 2025–26 NFL MVP award?,2026-02-18 00:00:00+00:00,102005660422283395810490280545699722029600088033370716622702579905766810783168,0.115,0.01,0.22,0.21,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
over-3b-committed-to-the-megaeth-public-sale-412,Over $3B committed to the MegaETH public sale?,2026-01-01 00:00:00+00:00,6428073617424230145813620875987214131099935496135695163677294496469756735461,0.505,0.06,0.95,0.89,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
over-150000-bidders-in-the-megaeth-public-sale,"Over 150,000 bidders in the MegaETH public sale?",2026-01-01 00:00:00+00:00,103086957807240037682164142788003362993754043872477375825646415705731403221590,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
over-4b-committed-to-the-megaeth-public-sale-752,Over $4B committed to the MegaETH public sale?,2026-01-01 00:00:00+00:00,77970829646342801770668777915338970225530746267104536014044971916767589986871,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
over-1b-committed-to-the-megaeth-public-sale,Over $1B committed to the MegaETH public sale?,2026-01-01 00:00:00+00:00,111923692478940463301382179582734497104620006899434472950425988974276360175989,0.5,0.001,0.999,0.998,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
will-the-government-shutdown-end-by-january-31-161,Will the Government shutdown end by January 31?,2025-12-31 00:00:00+00:00,147361992911948953229473924806964234102654915169357377745596912343182009392,0.5,0.001,0.999,0.998,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
will-the-government-shutdown-end-by-december-31-553,Will the Government shutdown end by December 31?,2025-12-31 00:00:00+00:00,95175238032799526152186987432451977494520482390042729805381695860132653791141,0.5,0.001,0.999,0.998,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
will-the-government-shutdown-end-by-november-30-916-134,Will the Government shutdown end by November 30?,2025-12-31 00:00:00+00:00,33863269898549252781275803678269200480782857182444175052616333799704258288948,0.505,0.02,0.99,0.97,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ere-fey-nec-2025-11-23-nec,Will NEC win on 2025-11-23?,2025-11-23 00:00:00+00:00,37387606154334825394666738815044799884104800334309246107830073007540313294459,0.5,0.01,0.99,0.98,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
